H_Baju,S_Baju,V_Baju,H_Celana,S_Celana,V_Celana,Label
0.2782658810054053,0.6341027322170434,0.6830858047978576,0.2782658810054053,0.6708796293429229,0.8046740991849253,1
0.4921977985986121,0.9005840621747135,0.9534421358356782,0.7421977985986121,0.8691828261069912,0.9394025426922443,0
0.2813711729344631,0.0,0.7842278594418044,0.45030051999215404,0.16882248996512395,0.5661437026339553,1
0.10051015447621003,0.0,0.5896508720022815,0.26382653529283473,0.6475960074053692,0.39363080488436,1
0.18077692432069759,0.0,0.5379485400003408,0.6234252845909528,0.45541318192290625,0.007491524143586337,1
0.6510048171171302,0.0,0.7871415034668663,0.2827849877966656,0.8005778264506651,0.9814627447646525,1
0.5769722092709687,0.605526208322651,0.8386980516064931,0.8269722092709687,0.9661149871919187,0.9323126787417859,0
0.2558195811257439,0.7990917367368882,0.7540402796285894,0.2558195811257439,0.5131337183969837,0.8433156909460975,1
0.7771215694300161,0.5080171703646272,0.5994717499767063,0.7771215694300161,0.937946268540666,0.717192608144007,1
0.794805139236297,0.9667236663209625,0.9974543056374005,0.04480513923629692,0.6760041826995689,0.8769167888434823,0
0.6881937390986841,0.8407664633329511,0.9372802431966979,0.9381937390986841,0.9668372566413143,0.8166289680359187,0
0.4621259619957835,0.7778353469105522,0.6197629972701376,0.7121259619957835,0.9579293849709949,0.9423384606306122,0
0.983134727997982,0.7728940622157652,0.7214867836572236,0.48313472799798207,0.7728940622157652,0.7214867836572236,1
0.5190926458153342,0.7501024948420882,0.935054902857565,0.2690926458153342,0.73521770628234,0.9363539312914779,0
0.6495344602815651,0.7818066848534506,0.6275790708495134,0.39953446028156514,0.7992400993260022,0.8735210915302625,0
0.3932343114719189,0.977176711240159,0.8023097546416336,0.143234311471919,0.9504991963706582,0.9413246989550095,0
0.5123492905695362,0.7228491852807046,0.7080117327700516,0.012349290569536153,0.7228491852807046,0.7080117327700516,1
0.13315899016773747,0.6223504578268089,0.7543414293050466,0.13315899016773747,0.7776709062458984,0.9820628317109207,1
0.5983622983282259,0.5505552441954071,0.6267500121155589,0.5983622983282259,0.8729785005800865,0.9415277507293129,1
0.6692702015015516,0.701436759144836,0.8291828924330029,0.4192702015015515,0.6705807515052562,0.8302795318352364,0
0.5346311812398158,0.9531973181471554,0.6947438300567279,0.4546311812398158,0.9531973181471554,0.6947438300567279,1
